Date,Open,High,Low,Close,Shares Traded
11-25-2021,17417.3,17564.35,17351.7,17536.25,255947032
11-26-2021,17338.75,17355.4,16985.7,17026.45,356330009
11-29-2021,17055.8,17160.7,16782.4,17053.95,348888750
11-30-2021,17051.15,17324.65,16931.4,16983.2,497999836
12-01-2021,17104.4,17213.05,17064.25,17166.9,295542125
12-02-2021,17183.2,17420.35,17149.3,17401.65,279867500
12-03-2021,17424.9,17489.8,17180.8,17196.7,292526485
12-06-2021,17209.05,17216.75,16891.7,16912.25,231716681
12-07-2021,17044.1,17251.65,16987.75,17176.7,254144221
12-08-2021,17315.25,17484.6,17308.95,17469.75,257791948
12-09-2021,17524.4,17543.25,17379.6,17516.85,237170272
12-10-2021,17476.05,17534.35,17405.25,17511.3,204467484
12-13-2021,17619.1,17639.5,17355.95,17368.25,256560534
12-14-2021,17283.2,17376.2,17225.8,17324.9,270965586
12-15-2021,17323.65,17351.2,17192.2,17221.4,214972109
12-16-2021,17373,17379.35,17184.95,17248.4,219496063
12-17-2021,17276,17298.15,16966.45,16985.2,354591366
12-20-2021,16824.25,16840.1,16410.2,16614.2,330614079
12-21-2021,16773.15,16936.4,16688.25,16770.85,241030834
12-22-2021,16865.55,16971,16819.5,16955.45,207946105
12-23-2021,17066.8,17118.65,17015.55,17072.6,196965302
12-24-2021,17149.5,17155.6,16909.6,17003.75,182564833
12-27-2021,16937.75,17112.05,16833.2,17086.25,144777457
12-28-2021,17177.6,17250.25,17161.15,17233.25,176026100
12-29-2021,17220.1,17285.95,17176.65,17213.6,161679423
12-30-2021,17201.45,17264.05,17146.35,17203.95,320831676
12-31-2021,17244.5,17400.8,17238.5,17354.05,167025720
01-03-2022,17387.15,17646.65,17383.3,17625.7,200456430
01-04-2022,17681.4,17827.6,17593.55,17805.25,247437472
01-05-2022,17820.1,17944.7,17748.85,17925.25,251460038
01-06-2022,17768.5,17797.95,17655.55,17745.9,236454824
01-07-2022,17797.6,17905,17704.55,17812.7,239338015
01-10-2022,17913.3,18017.45,17879.15,18003.3,232418075
01-11-2022,17997.75,18081.25,17964.4,18055.75,220238796
01-12-2022,18170.4,18227.95,18128.8,18212.35,244974287
01-13-2022,18257,18272.25,18163.8,18257.8,303700545
01-14-2022,18185,18286.95,18119.65,18255.75,229451608
01-17-2022,18235.65,18321.55,18228.75,18308.1,266702919
01-18-2022,18337.2,18350.95,18085.9,18113.05,227507319
01-19-2022,18129.2,18129.2,17884.9,17938.4,276662654
01-20-2022,17921,17943.7,17648.45,17757,258094246
01-21-2022,17613.7,17707.6,17485.85,17617.15,277645373
01-24-2022,17575.15,17599.4,16997.85,17149.1,323847388
01-25-2022,17001.55,17309.15,16836.8,17277.95,326515896
01-27-2022,17062,17182.5,16866.75,17110.15,395596577
01-28-2022,17208.3,17373.5,17077.1,17101.95,355284285
01-31-2022,17301.05,17410,17264.15,17339.85,321660346
02-01-2022,17529.45,17622.4,17244.55,17576.85,386391485
02-02-2022,17706.2,17794.6,17674.8,17780,271205907
02-03-2022,17767.75,17781.15,17511.15,17560.2,226614989
02-04-2022,17590.2,17617.8,17462.55,17516.3,261434170
02-07-2022,17456.3,17536.75,17119.4,17213.6,265037933
02-08-2022,17279.85,17306.45,17043.65,17266.75,268526210
02-09-2022,17370.1,17477.15,17339,17463.8,236350514
02-10-2022,17554.1,17639.45,17427.15,17605.85,273606440
02-11-2022,17451,17454.75,17303,17374.75,253141660
02-14-2022,17076.15,17099.5,16809.65,16842.8,305510740
02-15-2022,16933.25,17375,16839.25,17352.45,298658142
02-16-2022,17408.45,17490.6,17257.7,17322.2,244549223
02-17-2022,17396.55,17442.9,17235.85,17304.6,232136131
02-18-2022,17236.05,17380.8,17219.2,17276.3,189620888
02-21-2022,17192.25,17351.05,17070.7,17206.65,215183301
02-22-2022,16847.95,17148.55,16843.8,17092.2,300131995
02-23-2022,17194.5,17220.7,17027.85,17063.25,200229631
02-24-2022,16548.9,16705.25,16203.25,16247.95,457967874
02-25-2022,16515.65,16748.8,16478.3,16658.4,329780732
02-28-2022,16481.6,16815.9,16356.3,16793.9,404214666
03-02-2022,16593.1,16678.5,16478.65,16605.95,517723542
03-03-2022,16723.2,16768.95,16442.95,16498.05,442068263
03-04-2022,16339.45,16456,16133.8,16245.35,456143040
03-07-2022,15867.95,15944.6,15711.45,15863.15,585403660
03-08-2022,15747.75,16028.75,15671.45,16013.45,543600673
